timestamp,__name__,endpoint,instance,job,namespace,pod,service,value
2021-02-28 17:43:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:43:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:44:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:44:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:45:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:45:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:46:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:46:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:47:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:47:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:48:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:48:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:49:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:49:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:50:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:50:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:51:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:51:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:52:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:52:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:53:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:53:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:54:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:54:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:55:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:55:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:56:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:56:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:57:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
